id,visningsnamn,varumarke,kategori,bild_url,taggar
harfarg-7-0-blond-1-p-nutrisse,Hårfärg 7.0 Blond 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/9ea9a902-d849-4c08-8d9f-d21db08ca12d/500x500.jpg,"nutrisse,hårfärg 7.0 blond 1-p nutrisse"
harfarg-7-3-golden-praline-1-p-nutrisse,Hårfärg 7.3 Golden praline 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/c23f32da-7e32-47cd-9d51-9694f2dfa0fa/500x500.jpg,"nutrisse,hårfärg 7.3 golden praline 1-p nutrisse"
harfarg-universal-nudes-brown-1-p-excellence,Hårfärg Universal Nudes Brown 1-p Excellence,Excellence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/9d60bcba-56eb-4e25-836c-f216ff24d675/500x500.jpg,"excellence,hårfärg universal nudes brown 1-p excellence"
harfarg-chocolate-brown-41-1-p-joanna,Hårfärg Chocolate Brown 41 1-p Joanna,Joanna,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/29295f05-8a6e-482f-a44e-427ee1bfa211/500x500.jpg,"joanna,hårfärg chocolate brown 41 1-p joanna"
harfarg-867-autumn-brown-1-p-brillance-schwartzkopf,Hårfärg 867 Autumn Brown 1-p Brillance Schwartzkopf,Brillance Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/31ef3d60-5d78-4aeb-a7e6-0b49c6343a45/500x500.jpg,"brillance schwartzkopf,hårfärg 867 autumn brown 1-p brillance schwartzkopf"
harfarg-891-blue-black-1-p-brillance-schwartzkopf,Hårfärg 891 Blue Black 1-p Brillance Schwartzkopf,Brillance Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/9ae7bdbf-affb-43c1-a222-7b70fad5e04b/500x500.jpg,"brillance schwartzkopf,hårfärg 891 blue black 1-p brillance schwartzkopf"
harfarg-1-0-liqourice-1-p-miljomarkt-nutrisse,Hårfärg 1.0 Liqourice 1-p Miljömärkt Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/0aee62db-786a-45c7-9247-37f5e104b643/500x500.jpg,"nutrisse,hårfärg 1.0 liqourice 1-p miljömärkt nutrisse"
préférence-harfarg-vivids-bright-red-8-624-1-p-l-oréal,Préférence Hårfärg Vivids Bright Red 8.624 1-p L'Oréal,Préférence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/5be093a5-7e5d-4882-9247-b6bfab0b896a/500x500.jpg,"préférence,hårfärg vivids bright red 8.624 1-p l'oréal"
harfarg-cinnamon-brown-40-1-p-joanna,Hårfärg Cinnamon Brown 40 1-p Joanna,Joanna,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/0af4814f-35e2-4b7d-b3c4-99791050c714/500x500.jpg,"joanna,hårfärg cinnamon brown 40 1-p joanna"
harfarg-light-brown-6-0-1-p-olia,Hårfärg Light Brown 6.0 1-p Olia,Olia,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/ecef76a6-15d7-479e-be9b-6cceaf951542/500x500.jpg,"olia,hårfärg light brown 6.0 1-p olia"
harfargsborttagning-hair-colour-remover-max-effect-1-p-colourless,Hårfärgsborttagning Hair Colour Remover Max Effect 1-p Colourless,Colourless,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/5e3fb615-908e-494c-b2a5-ecf0ab0f2ca4/500x500.jpg,"colourless,hårfärgsborttagning hair colour remover max effect 1-p colourless"
harfarg-intense-ruby-6-60-1-p-color-sensation-garnier,Hårfärg Intense Ruby 6.60 1-p Color Sensation Garnier,Color Sensation Garnier,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/016f1fba-1e78-480c-814b-1ae02d1a29e7/500x500.jpg,"color sensation garnier,hårfärg intense ruby 6.60 1-p color sensation garnier"
préférence-harfarg-vivids-silver-grey-10-112-1-p-l-oréal,Préférence Hårfärg Vivids Silver Grey 10.112 1-p L'Oréal,Préférence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/9546a16f-7c39-4969-a92f-556914e01f21/500x500.jpg,"préférence,hårfärg vivids silver grey 10.112 1-p l'oréal"
